threshold,w_CAI,w_GC,w_Kozak,w_TIS,w_TTS,balanced_accuracy
0.7,0.06,0.03,0.02,0.5,0.4,0.9123864381346514
0.7,0.06,0.02,0.04,0.5,0.45,0.9123845491200704
0.6499999999999999,0.02,0.03,0.02,0.45,0.5,0.9123839194485434
0.6499999999999999,0.04,0.03,0.04,0.45,0.45,0.9123733603413982
0.7,0.08,0.02,0.02,0.45,0.4,0.912366579263415
0.5999999999999999,0.06,0.02,0.04,0.4,0.4,0.9123613562188257
0.6499999999999999,0.08,0.03,0.02,0.4,0.5,0.9123592815318713
0.6499999999999999,0.06,0.03,0.04,0.4,0.45,0.9123563915010167
0.6499999999999999,0.02,0.01,0.02,0.5,0.4,0.9123499817677803
0.7,0.08,0.03,0.04,0.4,0.5,0.9123352732867264
0.7,0.08,0.02,0.04,0.5,0.45,0.9123346436151993
0.7,0.06,0.01,0.06,0.45,0.4,0.9123315679119712
0.7,0.06,0.02,0.02,0.5,0.4,0.9123280482095896
0.5999999999999999,0.04,0.02,0.02,0.45,0.4,0.9123276042104359
0.7,0.06,0.02,0.04,0.45,0.5,0.9123240845080542
0.6499999999999999,0.08,0.02,0.04,0.4,0.45,0.9123226394926269
0.6499999999999999,0.08,0.01,0.02,0.5,0.4,0.9123226394926269
0.7,0.04,0.03,0.02,0.5,0.4,0.9123210088048261
0.7,0.08,0.03,0.02,0.5,0.4,0.9123098200261539
0.7,0.08,0.03,0.02,0.5,0.5,0.9123093760270002
0.6499999999999999,0.06,0.03,0.02,0.4,0.4,0.9123090046822536
0.6499999999999999,0.02,0.03,0.04,0.4,0.4,0.9123034102929175
0.6499999999999999,0.06,0.02,0.04,0.45,0.45,0.9123023366222369
0.6499999999999999,0.02,0.03,0.02,0.5,0.4,0.9123015212783365
0.6499999999999999,0.08,0.02,0.04,0.45,0.45,0.9122932225305191
0.7,0.02,0.02,0.06,0.45,0.45,0.9122930368581458
0.7,0.04,0.01,0.02,0.4,0.45,0.9122750670014905
0.7,0.04,0.02,0.04,0.45,0.5,0.9122621748806107
0.6499999999999999,0.04,0.03,0.02,0.5,0.4,0.9122551354758472
0.5999999999999999,0.04,0.03,0.04,0.4,0.4,0.9122530607888929
0.7,0.04,0.02,0.04,0.5,0.5,0.9122524311173659
0.7,0.06,0.01,0.04,0.5,0.5,0.9122524311173659
0.7,0.06,0.01,0.04,0.5,0.4,0.9122493554141378
0.6499999999999999,0.04,0.03,0.02,0.4,0.4,0.9122330162452832
0.6499999999999999,0.02,0.02,0.06,0.4,0.4,0.9122282371998476
0.7,0.02,0.01,0.06,0.4,0.45,0.9122147880618476
0.7,0.02,0.02,0.02,0.5,0.4,0.9121936698475573
0.6499999999999999,0.06,0.01,0.02,0.5,0.4,0.912189706146022
0.7,0.08,0.01,0.02,0.45,0.4,0.9121893348012753
0.7,0.08,0.01,0.06,0.4,0.5,0.9121876314590676
0.7,0.04,0.01,0.06,0.45,0.4,0.9121845557558395
0.5999999999999999,0.02,0.03,0.02,0.45,0.4,0.9121785173673498
0.6499999999999999,0.04,0.02,0.04,0.45,0.45,0.912169403275632
0.7,0.08,0.02,0.06,0.45,0.45,0.9121644385578229
0.7,0.02,0.01,0.02,0.5,0.4,0.9121619925261218
0.6499999999999999,0.02,0.01,0.04,0.45,0.5,0.9121617341993415
0.7,0.04,0.03,0.04,0.5,0.45,0.9121609188554411
0.7,0.02,0.01,0.06,0.45,0.5,0.9121518047637234
0.7,0.06,0.03,0.04,0.5,0.45,0.9121518047637234
0.7,0.02,0.03,0.04,0.5,0.5,0.912144135687433
0.7,0.06,0.01,0.06,0.45,0.45,0.9121383556257235
0.7,0.02,0.02,0.06,0.4,0.45,0.9121311305485867
0.6499999999999999,0.08,0.03,0.04,0.4,0.45,0.9121306865494332
0.6499999999999999,0.04,0.01,0.04,0.4,0.4,0.9121296855331594
0.6499999999999999,0.02,0.02,0.04,0.4,0.4,0.9121296855331594
0.6499999999999999,0.06,0.03,0.04,0.45,0.45,0.9121103836790432
0.6499999999999999,0.06,0.02,0.02,0.5,0.4,0.9121095683351428
0.5499999999999999,0.06,0.01,0.02,0.4,0.4,0.9121033442742797
0.6499999999999999,0.04,0.01,0.02,0.5,0.45,0.9120983795564707
0.5999999999999999,0.06,0.03,0.02,0.4,0.45,0.9120963048695163
0.5999999999999999,0.08,0.01,0.02,0.45,0.4,0.912094859854089
0.7,0.08,0.03,0.06,0.45,0.4,0.9120946741817155
0.5999999999999999,0.06,0.02,0.02,0.45,0.4,0.9120913401517072
0.6499999999999999,0.04,0.02,0.04,0.4,0.4,0.9120868194330518
0.7,0.02,0.03,0.02,0.5,0.4,0.9120797800282884
0.6499999999999999,0.04,0.01,0.06,0.4,0.45,0.9120793360291348
0.7,0.06,0.02,0.06,0.4,0.5,0.912075816326753
0.6499999999999999,0.04,0.02,0.04,0.45,0.4,0.9120694065935167
0.6499999999999999,0.02,0.03,0.04,0.45,0.45,0.9120611078456992
0.6499999999999999,0.04,0.03,0.04,0.45,0.4,0.9120567727994171
0.7,0.02,0.03,0.08,0.4,0.45,0.9120412489744629
0.7,0.02,0.02,0.06,0.45,0.4,0.9120389886151352
0.6499999999999999,0.02,0.03,0.04,0.45,0.4,0.9120321348827451
0.6499999999999999,0.04,0.03,0.04,0.4,0.5,0.9120217614479733
0.7,0.08,0.02,0.04,0.5,0.4,0.9120180560732182
0.7,0.04,0.01,0.04,0.5,0.4,0.9120046069352183
0.6499999999999999,0.02,0.03,0.06,0.4,0.4,0.9119990125458823
0.6499999999999999,0.06,0.02,0.04,0.4,0.5,0.9119880094395835
0.6499999999999999,0.08,0.01,0.04,0.4,0.5,0.9119880094395835
0.7,0.08,0.01,0.06,0.45,0.45,0.9119871940956832
0.7,0.04,0.02,0.02,0.45,0.4,0.9119642595212187
0.7,0.04,0.03,0.04,0.5,0.4,0.9119561464457746
0.7,0.02,0.03,0.02,0.4,0.45,0.911955145429501
0.7,0.08,0.02,0.06,0.4,0.5,0.9119548871027207
0.5999999999999999,0.08,0.02,0.04,0.4,0.4,0.9119492927133845
0.5999999999999999,0.06,0.03,0.04,0.4,0.4,0.9119457730110028
0.6499999999999999,0.02,0.02,0.06,0.4,0.45,0.9119408082931938
0.6499999999999999,0.04,0.03,0.02,0.45,0.5,0.9119345842323308
0.7,0.04,0.01,0.04,0.45,0.4,0.9119333975436836
0.5999999999999999,0.08,0.03,0.04,0.4,0.4,0.9119331392169033
0.6499999999999999,0.02,0.03,0.06,0.4,0.45,0.9119281744990944
